Sl.No,State,Zone,District,Sub District,P/M/C,Name of Local Body,Name Of Ward,
1,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,RAMAPURAM,
2,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,ATHIYANNOOR,
3,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,ARANGAMUGAL,
4,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,OORUTTUKALA,
5,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,KODANGAVILA,
6,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,KAMUKINCODE,
7,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,SASTHAMTHALA,
8,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,VENPAKAL,
9,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,BHASKERNAGER,
10,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,ARANGAL,
11,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,PONGIL,
12,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,NELLIMOODU,
13,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,KANNARAVILA,
14,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,POOTHAMCODE,
15,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,MARUTHAMCODE,
16,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,SABARIMUTTAM,
17,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Athiyanoor,THANNIMOODU,
18,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,ERUTHAVOOR,
19,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,RUSSELPURAM,
20,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PARAKKUZHI,
21,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PUNNAKKADU,
22,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,THALAYAL,
23,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PULLIYIL,
24,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,TOWN WARD,
25,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,THOPPU,
26,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,ANTHIYOOR,
27,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,RAMAPURAM,
28,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,KOTTUKALKONAM,
29,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PALACHALKONAM,
30,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,PANAYARAKUNNU,
31,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,NELLIVILA,
32,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,EDAMANAKUZHI,
33,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,R C STREET,
34,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,CHAMAVILA,
35,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,ITHIYOOR,
36,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,MANALI,
37,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Balaramapuram,OFFICE WARD,
38,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KEEZHKOLLA,
39,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,VATTAVILA,
40,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KUDUMBOTTUKONAM,
41,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KOCHOTTUKONAM,
42,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,UDHIYANKULANGARA,
43,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KOTTAMAM,
44,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,ARAYOOR,
45,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,ARAYOOR KIZHAKKU,
46,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,PONVILA,
47,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,THOTTINKARA,
48,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,PORANNOOR,
49,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,MELAMMAKAM,
50,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KODANKARA,
51,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,MARIAPURAM,
52,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KUNNANVILA,
53,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,CHENKAL KIZHAKKU,
54,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,CHENKAL,
55,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,VLATHANKARA KIZHAKKU,
56,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,KEEZHAMMAKAM,
57,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,VLATHANKARA,
58,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Chenkal,NOCHIYOOR,
59,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,KAZHIVOOR,
60,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,KAIVANVILA,
61,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,THADATHIKULAM,
62,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,MOONUMUKKU,
63,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,KANJIRAMKULAM TOWN,
64,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,CHEENIVILA,
65,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,NELLIKKAKUZHI,
66,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,MUZHAKKOLKUNNU,
67,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,CHANI,
68,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,LOURDEPURAM,
69,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,MAVILA,
70,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,NEDIYAKALA,
71,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,KARICHAL,
72,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kanjiramkulam,OOTTARA,
73,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,VADAKKEPUTHUVEEDU,
74,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,PLAMOOTUKADA,
75,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,AYIRA,
76,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,VADOORKONAM,
77,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,PUTHUPURAIKAL,
78,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,CHENKAVILA,
79,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,AMBILIKONAM,
80,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,KANTHALLOOR,
81,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,MARADY,
82,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,KARODE,
83,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,KUZHINJANVILA,
84,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,AMBANAVILA,
85,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,KUNNIYODE,
86,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,KAKKAVILA,
87,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,PUTHUSHERI,
88,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,PUTHIYA UCHAKKADA,
89,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,PAZHAYA UCHAKKADA,
90,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,VENKULAM,
91,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karode,CHAROTTUKONAM,
92,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PHC PULLUVILA,
93,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,KILITHATTU,
94,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PANCHAYATH OFFICE,
95,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,NAMBYATHI,
96,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PARUTHUPPARA,
97,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PAMBUKALA,
98,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,KALLUMUKKU,
99,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,KARUMKULAM,
100,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,KOCHUTHURA,
101,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,AZHAMKAL,
102,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PUTHIYATHURA,
103,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,CHEKKITTAVILAKAM,
104,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,URIYARIKKUNNU,
105,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PALLAM,
106,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,ERAYIMMANTHURA,
107,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,PULLUVILA,
108,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,CHEMBAKARAMANTHURA,
109,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Karumkulam,KOCHUPALLY,
110,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,NADOORKOLLA,
111,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,PERUMBOTTUKONAM,
112,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,MANKOTTUKONAM,
113,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,MALAYILKADA,
114,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,PANKOTTUKONAM,
115,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,MANCHAVILAKOM,
116,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,POOVATHOOR,
117,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,CHARUVILAKOM,
118,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,MEKOLLA,
119,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,DHANUVACHAPURAM,
120,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,KOTTAMAM,
121,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,PUTHUSSERIMADAM,
122,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,EAITHUKONDAKANI,
123,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,UDIYANKULANGARA,
124,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,DEVESWARAM,
125,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kollayil,PANAYAMMOOLA,
126,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,MANNOTTUKONAM,
127,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,AVANAKUZHI,
128,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,MANNAKKALLU,
129,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,KOLLAKONAM,
130,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,KUZHIVILAKONAM,
131,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,SREENARAYANAPURAM,
132,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,MOOLAKKARA,
133,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,CHOWARA,
134,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,AMBALATHUMOOLA,
135,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,ADIMALATHURA,
136,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,PULINKUDI,
137,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,CHAPPATH,
138,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,THEKKEKONAM,
139,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,PUNNAKULAM,
140,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,OFFICE WARD,
141,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,MARUTHOORKONAM,
142,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,PAYATTUVILA,
143,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,PULIYOORKONAM,
144,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kottukal,PULIVILA,
145,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,VENKADAMBU,
146,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,POOZHIKUNNU,
147,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,NALLOORVATTOM,
148,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,CHERUNAL PAZHINJI,
149,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,HIGHSCHOOL,
150,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,KULATHOOR,
151,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,UCHAKKADA,
152,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,PERUMPAZHANJI,
153,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,POZHIYOOR,
154,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,POYPALLIVILAKOM,
155,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,KOLLEMKODE,
156,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,MULLASSERY,
157,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,PARUTHIYOOR,
158,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,POZHIKKARABEACH,
159,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,ATTUPURAM,
160,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,VIRALYPURAM,
161,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,ARUVALLOOR,
162,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,KOTTAKKAKAM,
163,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,OORAMVILA,
164,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kulathoor,MAVILAKADAVU,
165,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,ANAVOOR,
166,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,MANAVARI,
167,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KORANAMCODE,
168,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,ARUVIYODU,
169,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,NARANI,
170,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KAIVANKALA,
171,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,ELLUVILA,
172,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KUDAYAL,
173,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,CHERIYAKOLLA,
174,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,NILAMAMOODU,
175,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KOTTUKONAM,
176,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KARAKONAM,
177,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KUNNATHUKAL,
178,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,CHAVADI,
179,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,MANINADU,
180,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,VANDITHADAM,
181,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,MOOVERIKARA,
182,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KALAYIL,
183,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KURUVADU,
184,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,KOTTAIKAL,
185,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Kunnathukal,PALIYODU,
186,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,PAMAMCODE,
187,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,MOOKKUNNIMALA,
188,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,KANNANCODU,
189,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,KULANGARAKONAM,
190,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,NADUCADU,
191,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,NARUVAMOODU,
192,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,VELLAPPALLY,
193,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,MUKKAMPALAMOODU,
194,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,THANNIVILA,
195,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,VADAKKEVILA,
196,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,POONKODU,
197,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,BHAGAVATHYNADA,
198,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,KELESWARAM,
199,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,OFFICE WARD,
200,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,VEDIVACHANCOIL,
201,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,KURANDIVILA,
202,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,AYANIMOODU,
203,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,MOTTAMOODU,
204,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,PERINGODE,
205,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,EDACODE,
206,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,PALLICHAL,
207,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,KUNDRATHERI,
208,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Pallichal,PRAVACHAMBALAM,
209,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,KOTTAIKKAM,
210,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,NEDIYAMCODE,
211,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,PERUVILA,
212,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,PULLOORKONAM,
213,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,PARASUVAIKKAL,
214,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,ADUMANCADU,
215,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,IDICHAKKAPLAMOODU,
216,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,PAVATHIYANVILA,
217,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,KARUMANOOR,
218,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,NEDUVANVILA,
219,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,KODAVILAKOM,
220,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,MURIYANKARA,
221,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,MULLUVILA,
222,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,TOWN,
223,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,NADUTHOTTAM,
224,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,INCHIVILA,
225,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,AYINKAMAM,
226,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,VANNIYACODE,
227,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,CHERUVARAKONAM,
228,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,MURIYATHOTTAM,
229,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,KEEZHATHOTTAM,
230,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,MELEKONAM,
231,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Parassala,PONNAMKULAM,
232,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,PAZHAMALA,
233,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,ANCODE,
234,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,PALKULANGARA,
235,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,ALATHOOR,
236,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,THATHIYOOR,
237,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,THRIPPALAVOOR,
238,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,ARUVIKKARA,
239,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,VADAKARA,
240,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,CHULLIYOOR,
241,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,ANAMUKHAM,
242,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,MARAYAMUTTOM,
243,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,ARUVIPPURAM,
244,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,AYIROOR,
245,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,THATHAMALA,
246,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,PULIMANCODE,
247,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Perumkadavila,PERUMKADAVILA,
248,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,PARANIYAM,
249,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,KALAYITHOTTAM,
250,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,ARASUMMOODU,
251,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,KANCHAMPAZHINJI,
252,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,ARUMANOOR,
253,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,SOOLAMKUDY,
254,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,POOVAR BUND,
255,Kerala,Southern,Thiruvananthapuram,Neyyattinkara,Panchayath,Poovar,POOVAR TOWN,
